vertical	returned_qty
SchoolBag	1342
MensPullover	1359
Rucksack	1397
BoySweatshirt	1408
MensWinterwearSeasonalwear	1437
GirlJean	1468
BoyTrouser	1513
WomenCoat	1523
GirlsEthnicSet	1555
MessengerBag	1590
WomenPyjamaLoungePant	1636
GirlCasualShoe	1703
BoyJacket	1708
MensPyjama	1712
Totes	1765
KidWristWatch	1771
FitnessAccessory_Support	1815
MenBag	1918
WomenShapewear	1925
MosquitoNet	1945
MensCargo	2108
WomenSportSandal	2110
ArtificialPendantLocket	2117
WomenTShirt	2230
WomenTight	2435
WomenCamisoleSlip	2464
DuffelBag	2537
WristWatch	2728
MensThreeFourth	2777
BoyCasualShoe	2908
Suitcase	3041
InfantDress	3053
ArtificialNecklaceChain	3147
MenEthnicShoe	3324
MensEthnicSet	3573
BoyJean	3662
WalletClutch	3728
WomenEthnicWear	3833
GirlsLehengaCholi	4034
WomenSweaterPullover	4122
WomenSportBra	4175
NA	4223
WomenFormalShoe	4236
GirlsTop	4323
MensWaistcoat	4335
GirlsTShirt	4403
WomenSalwarKurtaDupatta	4406
BoyShirt	4451
WomenEthnicSet	4584
WomenBlouse	4729
Frame	4782
WomenTrackPant	4896
MensRaincoat	5150
WomenNightSuit	5481
Sports_Footwear	5513
MensTrackSuit	5551
WomenTunic	5724
ArtificialJewellerySet	5747
WomenSandalMisc	5827
MensCap	5868
MensSportsJacket	6164
WomenSkirt	6853
WomenWristWatch	7004
WomenBoot	7006
ShoulderBag	7007
WomenShort	7157
WomenCapri	7401
WomenJumpsuit	7581
GirlSandal	7591
HandBag	7614
GirlClothing	7642
MensKurta	7824
MensWallet	7852
WomenShrug	8453
ArtificialEarring	8894
BoysEthnicSet	8985
WomenNightDressNighty	9279
WomenSweatshirt	9533
BoyClothing	9799
WomenLoafer	9892
MensBlazer	10210
BoySandal	10606
GirlShoe	10724
SlingBag	10858
ArtificialBangleBraceletArmlet	13495
MensSweater	13832
WomenLeggingJegging	14188
WomenLehengaCholi	14289
WomenSari	14957
ArtificialRing	15100
BoysTShirt	15234
MensSportwear	15495
WomenJacket	17337
WomenSlipperFlipFlops	17602
WomenFabric	17644
MenWristWatch	18146
FashionBelt	18261
WomenTrouser	18985
GirlsDress	21048
MensShort	21505
WomenShirt	21989
WomenPoloTShirt	22660
MensTrackPant	25865
WomenSportShoe	27089
MensShirt	28701
BoyShoe	29346
WomenBellies	31149
WomenBra	31303
Sunglass	32285
WomenWedge	36380
WomenHeel	39410
MensSweatshirt	40865
WomenJean	43352
WomenKurti	46215
WomenCasualShoe	52731
Backpack	57761
MensTrouser	58226
WomenDress	59375
MenFormalShoe	64026
MenSlipperFlipFlop	64762
WomenFlat	68894
MensJacket	72250
WomenTop	96170
MenSandalFloater	97455
WomenKurta	100144
MensCasualShirt	143193
MensJean	158266
MenSportShoe	199445
MensPoloTShirt	298453
MenCasualShoe	401821
